<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200824;000000;37893.0000000;38218.0000000;37800.0000000;38218.0000000;30
20200825;000000;38900.0000000;45000.0000000;37728.0000000;39600.0000000;3058
20200826;000000;39650.0000000;39650.0000000;38271.0000000;38600.0000000;1295
20200827;000000;38489.0000000;38744.0000000;37900.0000000;38222.0000000;692
20200828;000000;38102.0000000;39078.0000000;37310.0000000;38900.0000000;923
20200831;000000;39400.0000000;40359.0000000;38916.0000000;39350.0000000;1229
20200901;000000;40137.0000000;41259.0000000;39610.0000000;40783.0000000;1156
20200902;000000;41268.0000000;43860.0000000;40543.0000000;43000.0000000;3242
20200903;000000;43519.0000000;43844.0000000;38789.0000000;38800.0000000;3995
20200904;000000;38151.0000000;39700.0000000;35433.0000000;38179.0000000;8012
20200908;000000;38942.0000000;38942.0000000;35601.0000000;36777.0000000;3513
20200909;000000;36611.0000000;38689.0000000;36611.0000000;38450.0000000;2398
20200910;000000;38500.0000000;39020.0000000;36700.0000000;37063.0000000;1709
20200911;000000;37388.0000000;38016.0000000;35848.0000000;36755.0000000;1532
20200914;000000;37490.0000000;40043.0000000;36077.0000000;38801.0000000;4291
20200915;000000;38999.0000000;39916.0000000;38511.0000000;39130.0000000;2158
20200916;000000;39477.0000000;39497.0000000;37655.0000000;38000.0000000;1782
20200917;000000;38000.0000000;38253.0000000;36050.0000000;37576.0000000;2603
20200918;000000;37690.0000000;38111.0000000;36360.0000000;37244.0000000;2029
20200921;000000;36704.0000000;38320.0000000;36100.0000000;38002.0000000;2665
20200922;000000;38018.0000000;38480.0000000;37090.0000000;38215.0000000;1674
20200923;000000;38396.0000000;39009.0000000;37262.0000000;37413.0000000;1614
20200924;000000;37261.0000000;38712.0000000;36927.0000000;38057.0000000;1395
20200925;000000;38351.0000000;40265.0000000;38026.0000000;39400.0000000;1489
20200928;000000;41285.0000000;41800.0000000;39691.0000000;41300.0000000;1695
20200929;000000;41200.0000000;42357.0000000;40185.0000000;42259.0000000;1221
20200930;000000;41511.0000000;42350.0000000;40887.0000000;41726.0000000;1348
20201001;000000;42092.0000000;42810.0000000;41800.0000000;42100.0000000;1363
20201002;000000;41225.0000000;42306.0000000;40870.0000000;40870.0000000;1447
20201005;000000;41276.0000000;42623.0000000;41198.0000000;42514.0000000;1142
20201006;000000;43000.0000000;44070.0000000;42651.0000000;42979.0000000;1480
20201007;000000;43681.0000000;44015.0000000;43300.0000000;43600.0000000;629
20201008;000000;43628.0000000;44000.0000000;42454.0000000;42700.0000000;1107
20201009;000000;43123.0000000;43123.0000000;41970.0000000;42342.0000000;595
20201013;000000;43500.0000000;44635.0000000;43335.0000000;43845.0000000;1215
20201014;000000;44894.0000000;44900.0000000;43444.0000000;43805.0000000;634
20201015;000000;43510.0000000;43801.0000000;42499.0000000;43600.0000000;833
20201016;000000;43707.0000000;44055.0000000;42974.0000000;43000.0000000;730
20201019;000000;43798.0000000;43798.0000000;41799.0000000;42167.0000000;722
20201020;000000;42600.0000000;42684.0000000;41900.0000000;42150.0000000;312
20201021;000000;42179.0000000;42223.0000000;41500.0000000;41584.0000000;460
20201022;000000;40714.0000000;41696.0000000;40509.0000000;41012.0000000;622
20201023;000000;41008.0000000;41399.0000000;40711.0000000;41399.0000000;289
20201026;000000;41288.0000000;41548.0000000;39950.0000000;40195.0000000;354
20201027;000000;40166.0000000;41500.0000000;40099.0000000;41500.0000000;408
20201028;000000;41500.0000000;41621.0000000;40000.0000000;40214.0000000;558
20201029;000000;40337.0000000;41512.0000000;40015.0000000;40710.0000000;966
20201030;000000;40592.0000000;40786.0000000;39150.0000000;39910.0000000;819
20201102;000000;40093.0000000;41317.0000000;39915.0000000;40356.0000000;846
20201103;000000;40717.0000000;41500.0000000;40045.0000000;41461.0000000;414
20201105;000000;43050.0000000;44250.0000000;43050.0000000;43560.0000000;1881
20201106;000000;43057.0000000;45141.0000000;42660.0000000;45118.0000000;2112
20201109;000000;44501.0000000;46131.0000000;42111.0000000;42155.0000000;2201
20201110;000000;41969.0000000;42200.0000000;38816.0000000;39100.0000000;4415
20201111;000000;39103.0000000;41183.0000000;38891.0000000;41174.0000000;2596
20201112;000000;41622.0000000;42855.0000000;40650.0000000;41522.0000000;1654
20201113;000000;41802.0000000;42360.0000000;40489.0000000;41044.0000000;1678
20201116;000000;41251.0000000;41760.0000000;40209.0000000;40900.0000000;1909
20201117;000000;41424.0000000;41500.0000000;40663.0000000;40816.0000000;766
20201118;000000;40996.0000000;41351.0000000;40157.0000000;40933.0000000;974
20201119;000000;40250.0000000;41060.0000000;40106.0000000;40841.0000000;1902
20201120;000000;40841.0000000;41100.0000000;39950.0000000;40100.0000000;933
20201123;000000;40144.0000000;40622.0000000;39870.0000000;40030.0000000;2155
20201124;000000;40297.0000000;40297.0000000;38999.0000000;38999.0000000;2140
20201125;000000;39222.0000000;40130.0000000;39050.0000000;39990.0000000;839
