<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NFLX-RM,W,20200824,000000,36284.0000000,42024.0000000,36260.0000000,38823.0000000,1498
NFLX-RM,W,20200831,000000,39246.0000000,42500.0000000,36837.0000000,39019.0000000,2199
NFLX-RM,W,20200907,000000,39001.0000000,39695.0000000,35959.0000000,36231.0000000,1862
NFLX-RM,W,20200914,000000,36356.0000000,37750.0000000,34800.0000000,35575.0000000,2616
NFLX-RM,W,20200921,000000,35436.0000000,37836.0000000,35200.0000000,37826.0000000,1950
NFLX-RM,W,20200928,000000,37801.0000000,41172.0000000,37801.0000000,39420.0000000,1620
NFLX-RM,W,20201005,000000,39734.0000000,41967.0000000,39600.0000000,41455.0000000,1257
NFLX-RM,W,20201012,000000,41614.0000000,44195.0000000,41385.0000000,41410.0000000,1759
NFLX-RM,W,20201019,000000,41501.0000000,42600.0000000,36777.0000000,37212.0000000,4232
NFLX-RM,W,20201026,000000,37041.0000000,40350.0000000,36761.0000000,37989.0000000,3761
NFLX-RM,W,20201102,000000,38200.0000000,40001.0000000,37915.0000000,39699.0000000,1682
NFLX-RM,W,20201109,000000,39700.0000000,40393.0000000,35403.0000000,37351.0000000,17680
NFLX-RM,W,20201116,000000,37500.0000000,38540.0000000,36205.0000000,37337.0000000,4234
NFLX-RM,W,20201123,000000,37200.0000000,37472.0000000,36135.0000000,37193.0000000,7875
NFLX-RM,W,20201130,000000,37200.0000000,38564.0000000,36624.0000000,36907.0000000,4919
NFLX-RM,W,20201207,000000,36907.0000000,38100.0000000,35835.0000000,36685.0000000,2153
NFLX-RM,W,20201214,000000,36771.0000000,39400.0000000,36622.0000000,38661.0000000,2978
NFLX-RM,W,20201221,000000,38660.0000000,40237.0000000,37947.0000000,38082.0000000,2837
NFLX-RM,W,20201228,000000,37777.0000000,39803.0000000,37000.0000000,39112.0000000,1446
NFLX-RM,W,20210104,000000,40040.0000000,40040.0000000,37165.0000000,37923.0000000,2537
NFLX-RM,W,20210111,000000,37914.0000000,38200.0000000,35875.0000000,36650.0000000,3017
NFLX-RM,W,20210118,000000,37238.0000000,43642.0000000,36500.0000000,42730.0000000,10331
NFLX-RM,W,20210125,000000,42615.0000000,43020.0000000,37767.0000000,40356.0000000,2275
NFLX-RM,W,20210201,000000,40309.0000000,42350.0000000,40178.0000000,41067.0000000,2032
NFLX-RM,W,20210208,000000,41243.0000000,41902.0000000,40360.0000000,40842.0000000,2260
NFLX-RM,W,20210215,000000,40004.0000000,41515.0000000,39970.0000000,40055.0000000,934
NFLX-RM,W,20210222,000000,39971.0000000,41200.0000000,39595.0000000,40407.0000000,2156
NFLX-RM,W,20210301,000000,41144.0000000,41144.0000000,37249.0000000,38264.0000000,1908
NFLX-RM,W,20210308,000000,38985.0000000,38985.0000000,36950.0000000,38041.0000000,1929
NFLX-RM,W,20210315,000000,37764.0000000,38865.0000000,37215.0000000,38000.0000000,2147
NFLX-RM,W,20210322,000000,37980.0000000,41300.0000000,37800.0000000,38320.0000000,2246
NFLX-RM,W,20210329,000000,38589.0000000,41200.0000000,38300.0000000,41190.0000000,1150
NFLX-RM,W,20210405,000000,41190.0000000,43076.0000000,40665.0000000,42970.0000000,1609
NFLX-RM,W,20210412,000000,43094.0000000,43181.0000000,40793.0000000,41208.0000000,2550
NFLX-RM,W,20210419,000000,41731.0000000,43200.0000000,37525.0000000,37860.0000000,10306
NFLX-RM,W,20210426,000000,37974.0000000,38661.0000000,37170.0000000,38580.0000000,4244
NFLX-RM,W,20210503,000000,38128.0000000,38260.0000000,36595.0000000,37199.0000000,1763
NFLX-RM,W,20210510,000000,37198.0000000,37286.0000000,35261.0000000,36514.0000000,2747
NFLX-RM,W,20210517,000000,37099.0000000,37221.0000000,35400.0000000,36691.0000000,1675
NFLX-RM,W,20210524,000000,36848.0000000,37971.0000000,36626.0000000,36815.0000000,3357
NFLX-RM,W,20210531,000000,36979.0000000,37260.0000000,35740.0000000,36076.0000000,2095
NFLX-RM,W,20210607,000000,36155.0000000,36732.0000000,34690.0000000,35325.0000000,3460
NFLX-RM,W,20210614,000000,35489.0000000,36668.0000000,35200.0000000,36450.0000000,5532
NFLX-RM,W,20210621,000000,36468.0000000,38350.0000000,36030.0000000,38071.0000000,7234
NFLX-RM,W,20210628,000000,38057.0000000,39457.0000000,37870.0000000,39045.0000000,3293
NFLX-RM,W,20210705,000000,38885.0000000,40499.0000000,38885.0000000,39800.0000000,4050
NFLX-RM,W,20210712,000000,40900.0000000,41898.0000000,39080.0000000,39332.0000000,4278
NFLX-RM,W,20210719,000000,39273.0000000,39992.0000000,36501.0000000,38011.0000000,5041
NFLX-RM,W,20210726,000000,38178.0000000,38630.0000000,37200.0000000,37905.0000000,2411
NFLX-RM,W,20210802,000000,38211.0000000,38571.0000000,36984.0000000,38139.0000000,2002
NFLX-RM,W,20210809,000000,38245.0000000,38544.0000000,37392.0000000,37790.0000000,1081
NFLX-RM,W,20210816,000000,37794.0000000,40955.0000000,37666.0000000,40600.0000000,3645
NFLX-RM,W,20210823,000000,40584.0000000,41585.0000000,40177.0000000,40988.0000000,1418
NFLX-RM,W,20210830,000000,40988.0000000,43500.0000000,40975.0000000,42910.0000000,2086
NFLX-RM,W,20210906,000000,43194.0000000,45068.0000000,43124.0000000,43806.0000000,2154
NFLX-RM,W,20210913,000000,43642.0000000,43955.0000000,41777.0000000,42868.0000000,1460
NFLX-RM,W,20210920,000000,43050.0000000,43505.0000000,41823.0000000,43016.0000000,1828
NFLX-RM,W,20210927,000000,42998.0000000,45075.0000000,37273.0000000,44670.0000000,2473
NFLX-RM,W,20211004,000000,44482.0000000,46629.0000000,43235.0000000,45497.0000000,2191
NFLX-RM,W,20211011,000000,45205.0000000,45623.0000000,41545.0000000,45252.0000000,1209
NFLX-RM,W,20211018,000000,44662.0000000,46772.0000000,43900.0000000,46695.0000000,5017
NFLX-RM,W,20211025,000000,47093.0000000,49673.0000000,46133.0000000,48997.0000000,1223
NFLX-RM,W,20211101,000000,49134.0000000,49582.0000000,46009.0000000,46079.0000000,1900
NFLX-RM,W,20211108,000000,46377.0000000,49700.0000000,45830.0000000,49625.0000000,1517
NFLX-RM,W,20211115,000000,49612.0000000,51012.0000000,48912.0000000,49850.0000000,1748
NFLX-RM,W,20211122,000000,50037.0000000,51060.0000000,48288.0000000,50990.0000000,2564
NFLX-RM,W,20211129,000000,50144.0000000,50460.0000000,44008.0000000,44008.0000000,1706
NFLX-RM,W,20211206,000000,44666.0000000,47000.0000000,44241.0000000,44709.0000000,1786
NFLX-RM,W,20211213,000000,44778.0000000,45800.0000000,43200.0000000,43567.0000000,1434
NFLX-RM,W,20211220,000000,43112.0000000,45323.0000000,43100.0000000,45125.0000000,1010
NFLX-RM,W,20211227,000000,45228.0000000,46350.0000000,44850.0000000,45866.0000000,1061
