<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210111,000000,2365.0000000,2405.0000000,2344.5000000,2380.0000000,1348
20210112,000000,2387.0000000,2408.0000000,2364.5000000,2391.5000000,966
20210113,000000,2392.0000000,2409.0000000,2378.5000000,2400.0000000,889
20210114,000000,2390.5000000,2428.0000000,2373.5000000,2417.0000000,832
20210115,000000,2418.0000000,2465.5000000,2376.5000000,2391.0000000,1497
20210117,000000,2394.5000000,2401.5000000,2378.0000000,2378.0000000,19
20210118,000000,2375.0000000,2408.0000000,2363.0000000,2376.0000000,616
20210119,000000,2375.0000000,2393.0000000,2353.0000000,2355.0000000,1535
20210120,000000,2365.0000000,2404.0000000,2342.0000000,2376.0000000,1414
20210121,000000,2378.0000000,2414.5000000,2365.5000000,2372.5000000,1072
20210122,000000,2372.5000000,2383.0000000,2350.0000000,2367.5000000,1483
20210124,000000,2361.0000000,2369.0000000,2361.0000000,2361.5000000,12
20210125,000000,2359.0000000,2386.5000000,2320.0000000,2334.0000000,2035
20210126,000000,2332.5000000,2350.5000000,2315.0000000,2324.5000000,1477
20210127,000000,2325.5000000,2332.5000000,2303.5000000,2305.5000000,1359
20210128,000000,2306.5000000,2355.0000000,2278.0000000,2334.0000000,2168
20210129,000000,2332.0000000,2361.5000000,2188.5000000,2229.5000000,3578
20210131,000000,2245.0000000,2245.0000000,2211.0000000,2211.0000000,72
20210201,000000,2215.0000000,2281.5000000,2208.0000000,2240.5000000,2155
20210202,000000,2241.5000000,2272.0000000,2215.0000000,2241.0000000,1661
20210203,000000,2238.5000000,2283.0000000,2225.5000000,2266.0000000,1603
20210204,000000,2277.5000000,2293.5000000,2236.5000000,2280.0000000,1505
20210205,000000,2286.5000000,2345.0000000,2281.0000000,2344.0000000,1300
20210207,000000,2344.5000000,2347.0000000,2336.5000000,2344.0000000,60
20210208,000000,2344.5000000,2357.5000000,2322.0000000,2334.5000000,1413
20210209,000000,2333.5000000,2351.5000000,2303.5000000,2320.0000000,1020
20210210,000000,2318.0000000,2387.0000000,2316.0000000,2360.0000000,2040
20210211,000000,2359.0000000,2373.5000000,2337.5000000,2355.0000000,1268
20210212,000000,2344.5000000,2387.5000000,2338.5000000,2387.5000000,1159
20210214,000000,2387.5000000,2388.0000000,2384.0000000,2387.5000000,22
20210215,000000,2388.0000000,2411.5000000,2365.0000000,2391.0000000,707
20210216,000000,2394.0000000,2417.5000000,2355.0000000,2372.0000000,1540
20210217,000000,2379.0000000,2392.0000000,2358.0000000,2377.0000000,1072
20210218,000000,2379.0000000,2395.0000000,2332.0000000,2348.0000000,1706
20210219,000000,2348.0000000,2379.5000000,2325.5000000,2379.5000000,1430
20210221,000000,2385.0000000,2417.0000000,2384.0000000,2416.0000000,322
20210222,000000,2417.0000000,2424.5000000,2368.5000000,2396.0000000,1597
20210223,000000,2393.5000000,2402.5000000,2284.5000000,2342.0000000,2528
20210224,000000,2347.5000000,2447.0000000,2331.5000000,2447.0000000,777
20210225,000000,2438.0000000,2480.0000000,2391.0000000,2391.0000000,229
20210226,000000,2382.0000000,2418.0000000,2300.0000000,2300.0000000,40
20210228,000000,2311.5000000,2331.0000000,2305.0000000,2329.5000000,62
20210301,000000,2331.5000000,2380.0000000,2324.5000000,2346.5000000,1853
20210302,000000,2348.5000000,2373.5000000,2327.0000000,2358.0000000,1615
20210303,000000,2362.5000000,2377.0000000,2325.5000000,2336.0000000,1515
20210304,000000,2340.0000000,2373.0000000,2321.0000000,2325.0000000,1288
20210305,000000,2322.5000000,2360.0000000,2314.5000000,2324.0000000,1362
20210307,000000,2324.0000000,2340.0000000,2324.0000000,2337.0000000,35
20210308,000000,2341.0000000,2352.5000000,2306.5000000,2318.0000000,1012
20210309,000000,2315.0000000,2318.0000000,2263.5000000,2292.5000000,2330
20210310,000000,2288.5000000,2302.0000000,2273.5000000,2297.0000000,1464
20210311,000000,2299.5000000,2364.5000000,2285.5000000,2333.5000000,2002
20210312,000000,2335.0000000,2368.0000000,2314.5000000,2359.5000000,1216
20210314,000000,2369.5000000,2369.5000000,2355.5000000,2359.5000000,41
20210315,000000,2351.0000000,2394.5000000,2336.0000000,2379.5000000,1380
20210316,000000,2378.0000000,2529.0000000,2373.0000000,2485.5000000,3666
20210317,000000,2482.5000000,2595.0000000,2447.0000000,2579.5000000,2983
20210318,000000,2579.5000000,2749.0000000,2578.0000000,2668.0000000,3864
