<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210111,000000,1055.0000000,1066.7000000,1011.0000000,1054.9000000,16983
20210112,000000,1054.7000000,1083.0000000,1046.8000000,1082.6000000,12375
20210113,000000,1082.4000000,1113.1000000,1067.0000000,1104.0000000,13081
20210114,000000,1104.0000000,1129.2000000,1101.0000000,1126.6000000,7645
20210115,000000,1126.6000000,1129.9000000,1076.5000000,1078.7000000,13052
20210117,000000,1079.8000000,1089.1000000,1072.0000000,1072.3000000,561
20210118,000000,1074.4000000,1100.0000000,1073.1000000,1097.7000000,4877
20210119,000000,1099.1000000,1109.7000000,1081.5000000,1095.5000000,9033
20210120,000000,1095.2000000,1124.2000000,1085.4000000,1115.0000000,10708
20210121,000000,1114.5000000,1163.4000000,1105.8000000,1136.7000000,16896
20210122,000000,1136.8000000,1138.8000000,1092.6000000,1109.1000000,12486
20210124,000000,1110.2000000,1117.6000000,1109.2000000,1111.9000000,425
20210125,000000,1112.1000000,1125.3000000,1086.2000000,1105.9000000,11223
20210126,000000,1105.2000000,1113.8000000,1085.0000000,1107.2000000,8273
20210127,000000,1105.4000000,1107.9000000,1063.3000000,1066.1000000,13694
20210128,000000,1065.6000000,1105.0000000,1055.0000000,1083.8000000,14563
20210129,000000,1084.3000000,1121.0000000,1071.7000000,1079.8000000,15076
20210131,000000,1098.3000000,1109.0000000,1091.6000000,1098.1000000,958
20210201,000000,1098.0000000,1142.1000000,1095.8000000,1131.4000000,18661
20210202,000000,1131.2000000,1132.6000000,1093.1000000,1102.1000000,14418
20210203,000000,1102.3000000,1117.7000000,1099.3000000,1112.5000000,7858
20210204,000000,1112.3000000,1112.5000000,1084.8000000,1108.0000000,11755
20210205,000000,1108.0000000,1138.6000000,1103.6000000,1137.8000000,10858
20210207,000000,1138.7000000,1152.2000000,1137.5000000,1144.9000000,1123
20210208,000000,1145.4000000,1186.9000000,1140.2000000,1172.8000000,16262
20210209,000000,1173.2000000,1206.4000000,1172.5000000,1190.8000000,16919
20210210,000000,1191.1000000,1264.7000000,1191.1000000,1248.2000000,22313
20210211,000000,1246.7000000,1281.4000000,1235.6000000,1243.0000000,16429
20210212,000000,1242.7000000,1265.3000000,1220.6000000,1264.5000000,13078
20210214,000000,1264.5000000,1272.4000000,1263.1000000,1271.9000000,489
20210215,000000,1271.8000000,1320.3000000,1270.6000000,1318.9000000,11165
20210216,000000,1318.1000000,1348.2000000,1265.9000000,1266.4000000,25444
20210217,000000,1266.8000000,1282.9000000,1231.8000000,1282.5000000,19127
20210218,000000,1281.8000000,1296.1000000,1252.2000000,1273.9000000,15165
20210219,000000,1273.0000000,1309.9000000,1240.5000000,1282.2000000,18179
20210221,000000,1287.0000000,1305.8000000,1287.0000000,1297.6000000,708
20210222,000000,1296.0000000,1312.0000000,1270.0000000,1284.0000000,15038
20210223,000000,1284.0000000,1287.0000000,1218.1000000,1261.2000000,20936
20210224,000000,1260.8000000,1278.9000000,1241.8000000,1271.4000000,16070
20210225,000000,1271.6000000,1275.0000000,1220.5000000,1226.6000000,15628
20210226,000000,1226.3000000,1238.3000000,1170.4000000,1192.8000000,20966
20210228,000000,1190.4000000,1208.8000000,1175.0000000,1206.0000000,772
20210301,000000,1206.1000000,1232.0000000,1187.0000000,1196.2000000,16119
20210302,000000,1196.3000000,1218.3000000,1174.0000000,1207.5000000,13936
20210303,000000,1206.8000000,1217.8000000,1160.0000000,1165.9000000,13388
20210304,000000,1165.0000000,1183.3000000,1120.0000000,1123.5000000,19544
20210305,000000,1123.2000000,1134.2000000,1110.0000000,1133.3000000,15194
20210307,000000,1132.1000000,1142.7000000,1132.0000000,1142.6000000,1667
20210308,000000,1142.7000000,1158.3000000,1118.6000000,1144.9000000,16471
20210309,000000,1144.9000000,1182.0000000,1136.9000000,1173.2000000,11949
20210310,000000,1173.0000000,1210.9000000,1155.2000000,1202.3000000,12759
20210311,000000,1202.4000000,1234.3000000,1195.3000000,1206.2000000,14294
20210312,000000,1206.1000000,1214.6000000,1172.0000000,1208.5000000,11590
20210314,000000,1210.0000000,1217.5000000,1204.0000000,1208.6000000,649
20210315,000000,1206.8000000,1224.9000000,1201.0000000,1214.5000000,8413
20210316,000000,1213.9000000,1240.4000000,1205.7000000,1219.0000000,12676
20210317,000000,1219.1000000,1223.9000000,1188.6000000,1222.4000000,13207
20210318,000000,1222.2000000,1233.9000000,1202.8000000,1205.6000000,14717
20210319,000000,1206.5000000,1215.4000000,1171.6000000,1196.1000000,15208
20210321,000000,1196.9000000,1200.9000000,1186.7000000,1188.4000000,398
20210322,000000,1187.7000000,1194.7000000,1163.5000000,1188.5000000,13664
20210323,000000,1188.4000000,1197.0000000,1166.4000000,1167.5000000,11727
20210324,000000,1167.6000000,1190.0000000,1161.5000000,1176.7000000,9311
20210325,000000,1177.3000000,1183.9000000,1143.8000000,1153.9000000,17511
20210326,000000,1154.7000000,1191.1000000,1149.9000000,1191.1000000,10589
20210328,000000,1187.1000000,1189.7000000,1184.0000000,1186.1000000,188
20210329,000000,1186.9000000,1202.0000000,1163.3000000,1180.2000000,4731
20210330,000000,1175.3000000,1186.0000000,1153.2000000,1160.5000000,1042
20210331,000000,1158.8000000,1194.3000000,1158.8000000,1190.9000000,245
20210401,000000,1190.7000000,1217.5000000,1176.6000000,1214.1000000,10491
20210402,000000,1208.6000000,1208.6000000,1208.6000000,1208.6000000,1
20210404,000000,1208.6000000,1225.0000000,1208.6000000,1220.9000000,470
20210405,000000,1219.0000000,1222.2000000,1196.5000000,1215.2000000,6601
20210406,000000,1215.7000000,1248.7000000,1202.8000000,1246.1000000,12554
20210407,000000,1247.1000000,1252.5000000,1226.4000000,1231.0000000,12210
20210408,000000,1232.5000000,1243.7000000,1222.1000000,1234.2000000,8071
20210409,000000,1234.5000000,1236.7000000,1193.2000000,1208.2000000,12454
20210411,000000,1208.3000000,1209.4000000,1202.8000000,1207.8000000,176
20210412,000000,1206.2000000,1208.6000000,1168.9000000,1171.3000000,12117
20210413,000000,1171.5000000,1186.4000000,1155.6000000,1164.1000000,18509
20210414,000000,1164.4000000,1188.0000000,1161.0000000,1177.7000000,12937
20210415,000000,1177.8000000,1207.2000000,1172.6000000,1201.8000000,12497
20210416,000000,1202.3000000,1212.9000000,1192.3000000,1206.0000000,8106
20210418,000000,1207.4000000,1207.4000000,1203.5000000,1205.0000000,207
20210419,000000,1204.8000000,1231.9000000,1202.3000000,1212.6000000,10378
20210420,000000,1211.9000000,1214.5000000,1185.1000000,1188.1000000,12767
20210421,000000,1189.0000000,1223.3000000,1186.3000000,1221.2000000,13631
20210422,000000,1219.4000000,1220.6000000,1200.3000000,1207.0000000,9894
20210423,000000,1206.3000000,1256.7000000,1205.2000000,1232.0000000,18645
20210425,000000,1233.8000000,1238.0000000,1233.2000000,1234.4000000,355
20210426,000000,1233.3000000,1259.3000000,1230.5000000,1251.0000000,11405
20210427,000000,1250.3000000,1261.8000000,1224.0000000,1233.2000000,11768
20210428,000000,1232.6000000,1232.6000000,1207.5000000,1224.3000000,13462
20210429,000000,1223.6000000,1233.0000000,1175.2000000,1208.1000000,17419
20210430,000000,1208.0000000,1227.8000000,1199.2000000,1203.9000000,13017
20210502,000000,1205.2000000,1205.2000000,1199.8000000,1203.6000000,194
20210503,000000,1203.2000000,1248.1000000,1195.5000000,1235.3000000,10999
20210504,000000,1234.2000000,1273.9000000,1220.8000000,1238.8000000,16718
20210505,000000,1238.4000000,1245.0000000,1214.5000000,1224.6000000,9902
20210506,000000,1224.2000000,1258.3000000,1219.0000000,1255.7000000,11868
20210507,000000,1255.1000000,1272.9000000,1241.3000000,1256.6000000,13184
20210509,000000,1258.0000000,1263.1000000,1253.1000000,1261.4000000,466
20210510,000000,1261.3000000,1281.4000000,1245.4000000,1254.6000000,12915
20210511,000000,1254.3000000,1255.2000000,1216.0000000,1241.0000000,16383
20210512,000000,1240.9000000,1250.8000000,1213.1000000,1218.0000000,13079
20210513,000000,1218.0000000,1224.1000000,1200.5000000,1211.6000000,12366
20210514,000000,1212.6000000,1236.0000000,1211.1000000,1231.1000000,10011
20210516,000000,1230.7000000,1235.6000000,1230.5000000,1231.6000000,242
20210517,000000,1230.8000000,1248.4000000,1224.0000000,1247.4000000,10476
20210518,000000,1246.4000000,1252.8000000,1215.1000000,1223.7000000,15708
20210519,000000,1222.9000000,1228.8000000,1186.3000000,1190.7000000,21361
20210520,000000,1191.1000000,1213.1000000,1189.4000000,1200.5000000,10979
20210521,000000,1201.1000000,1207.9000000,1166.3000000,1170.9000000,16465
20210523,000000,1171.2000000,1177.3000000,1166.7000000,1175.6000000,653
20210524,000000,1174.6000000,1183.7000000,1162.0000000,1176.2000000,11313
20210525,000000,1176.0000000,1200.0000000,1168.9000000,1198.0000000,12280
20210526,000000,1198.3000000,1217.6000000,1191.6000000,1194.0000000,12246
20210527,000000,1194.0000000,1200.7000000,1171.1000000,1182.9000000,13010
20210528,000000,1183.0000000,1187.2000000,1169.1000000,1184.4000000,11915
20210530,000000,1184.3000000,1190.0000000,1183.7000000,1187.5000000,376
20210531,000000,1187.7000000,1194.0000000,1183.6000000,1193.4000000,2740
20210601,000000,1193.2000000,1211.0000000,1176.7000000,1196.6000000,14832
20210602,000000,1196.7000000,1199.1000000,1179.4000000,1195.5000000,10379
20210603,000000,1195.3000000,1197.7000000,1149.0000000,1157.7000000,19555
20210604,000000,1157.8000000,1168.8000000,1142.0000000,1168.0000000,15660
20210606,000000,1168.5000000,1171.3000000,1167.8000000,1171.1000000,670
20210607,000000,1170.8000000,1178.4000000,1160.6000000,1175.4000000,8789
20210608,000000,1176.2000000,1179.0000000,1155.0000000,1164.1000000,9757
20210609,000000,1164.0000000,1166.9000000,1148.9000000,1151.1000000,9905
20210610,000000,1151.7000000,1155.0000000,1127.0000000,1152.2000000,16402
20210611,000000,1152.3000000,1161.0000000,1144.6000000,1149.3000000,9244
20210613,000000,1148.2000000,1150.6000000,1143.5000000,1144.3000000,551
20210614,000000,1144.0000000,1174.0000000,1139.1000000,1165.5000000,13963
20210615,000000,1165.5000000,1169.4000000,1146.0000000,1154.2000000,12440
20210616,000000,1153.7000000,1154.8000000,1116.0000000,1126.0000000,12894
20210617,000000,1126.2000000,1131.4000000,1043.9000000,1062.4000000,32024
20210618,000000,1061.1000000,1083.0000000,1035.0000000,1035.4000000,19784
20210620,000000,1038.5000000,1043.1000000,1034.5000000,1039.5000000,565
20210621,000000,1039.1000000,1057.4000000,1021.7000000,1055.7000000,15770
20210622,000000,1055.2000000,1074.1000000,1049.5000000,1070.7000000,11973
20210623,000000,1070.3000000,1094.0000000,1069.9000000,1083.3000000,13694
20210624,000000,1083.2000000,1096.5000000,1067.4000000,1092.7000000,8429
20210625,000000,1092.9000000,1111.2000000,1091.3000000,1108.2000000,8121
20210627,000000,1108.9000000,1112.4000000,1107.9000000,1111.7000000,198
20210628,000000,1111.5000000,1113.7000000,1090.8000000,1093.1000000,4171
20210629,000000,1092.9000000,1093.0000000,1057.6000000,1064.7000000,1378
20210630,000000,1057.0000000,1073.0000000,1048.2000000,1066.0000000,686
20210701,000000,1067.0000000,1094.5000000,1059.8000000,1084.4000000,11405
20210702,000000,1084.7000000,1096.3000000,1079.4000000,1089.6000000,9198
20210704,000000,1088.1000000,1093.1000000,1087.7000000,1091.0000000,104
20210705,000000,1091.2000000,1105.1000000,1087.0000000,1102.0000000,4232
20210706,000000,1102.0000000,1118.0000000,1075.5000000,1084.2000000,14394
20210707,000000,1084.2000000,1100.0000000,1071.0000000,1083.5000000,9533
20210708,000000,1083.8000000,1084.2000000,1062.3000000,1074.0000000,12693
20210709,000000,1072.8000000,1099.5000000,1065.7000000,1098.9000000,10868
20210711,000000,1098.0000000,1099.5000000,1095.9000000,1096.3000000,348
20210712,000000,1096.3000000,1123.8000000,1085.3000000,1115.0000000,15645
20210713,000000,1114.9000000,1122.0000000,1100.2000000,1102.2000000,10856
20210714,000000,1102.5000000,1135.3000000,1101.0000000,1127.6000000,14941
20210715,000000,1127.8000000,1145.2000000,1125.1000000,1137.5000000,12682
20210716,000000,1137.8000000,1140.6000000,1096.5000000,1101.1000000,14192
20210718,000000,1101.0000000,1105.2000000,1098.7000000,1105.2000000,411
20210719,000000,1104.2000000,1107.1000000,1063.8000000,1074.2000000,16905
20210720,000000,1074.1000000,1084.4000000,1053.3000000,1068.0000000,14551
20210721,000000,1067.8000000,1081.1000000,1060.7000000,1080.1000000,9869
20210722,000000,1079.6000000,1095.6000000,1072.9000000,1093.7000000,9106
20210723,000000,1093.6000000,1097.3000000,1042.2000000,1059.1000000,16550
20210725,000000,1057.1000000,1064.0000000,1057.0000000,1062.5000000,338
20210726,000000,1061.4000000,1073.5000000,1054.0000000,1065.0000000,11254
20210727,000000,1064.7000000,1069.2000000,1044.0000000,1053.8000000,14785
20210728,000000,1053.9000000,1068.7000000,1044.6000000,1067.5000000,9669
20210729,000000,1067.5000000,1081.3000000,1054.1000000,1054.2000000,13248
20210730,000000,1054.3000000,1056.9000000,1032.5000000,1045.9000000,16525
20210801,000000,1047.8000000,1052.9000000,1046.0000000,1052.8000000,518
20210802,000000,1052.0000000,1065.9000000,1047.0000000,1052.6000000,10093
20210803,000000,1052.6000000,1055.0000000,1036.3000000,1045.0000000,10613
20210804,000000,1045.1000000,1052.0000000,1016.6000000,1018.0000000,15471
20210805,000000,1018.2000000,1018.2000000,996.8000000,999.6000000,16554
20210806,000000,999.2000000,1003.9000000,968.7000000,974.5000000,18980
20210808,000000,973.9000000,974.4000000,954.0000000,956.0000000,2342
20210809,000000,956.0000000,980.6000000,954.0000000,971.0000000,13480
20210810,000000,970.4000000,996.9000000,968.8000000,993.1000000,12628
20210811,000000,993.1000000,1018.3000000,992.2000000,1015.5000000,12158
20210812,000000,1015.8000000,1023.0000000,1004.0000000,1016.4000000,9291
20210813,000000,1014.9000000,1029.2000000,1011.7000000,1025.9000000,7196
20210815,000000,1024.5000000,1024.7000000,1023.3000000,1023.8000000,36
20210816,000000,1023.6000000,1028.0000000,1001.3000000,1025.8000000,10521
20210817,000000,1026.1000000,1026.7000000,987.3000000,995.3000000,12665
20210818,000000,995.0000000,1009.7000000,985.2000000,993.6000000,12417
20210819,000000,993.6000000,995.7000000,956.0000000,966.7000000,17764
20210820,000000,967.3000000,995.5000000,966.6000000,991.2000000,10942
20210822,000000,992.9000000,993.9000000,988.3000000,988.3000000,292
20210823,000000,988.2000000,1018.0000000,987.8000000,1014.7000000,12300
20210824,000000,1014.5000000,1019.1000000,1002.1000000,1007.2000000,9490
20210825,000000,1007.7000000,1009.9000000,984.7000000,993.9000000,9924
20210826,000000,993.8000000,995.7000000,972.2000000,975.5000000,11412
20210827,000000,975.2000000,1008.2000000,974.2000000,1006.6000000,11171
20210829,000000,1006.1000000,1011.5000000,1005.2000000,1010.0000000,450
20210830,000000,1009.8000000,1014.2000000,994.8000000,1001.3000000,7262
20210831,000000,1001.2000000,1017.2000000,992.0000000,1012.1000000,11784
20210901,000000,1011.9000000,1015.3000000,993.8000000,996.5000000,11190
20210902,000000,996.6000000,1006.8000000,986.0000000,995.0000000,10103
20210903,000000,995.1000000,1026.5000000,992.4000000,1023.4000000,13997
20210905,000000,1021.6000000,1024.0000000,1018.3000000,1019.7000000,298
20210906,000000,1019.3000000,1026.1000000,1014.2000000,1018.3000000,4043
20210907,000000,1018.3000000,1023.2000000,990.0000000,994.2000000,12822
20210908,000000,994.6000000,1003.8000000,970.3000000,972.9000000,14256
20210909,000000,973.0000000,984.6000000,967.3000000,972.9000000,12392
20210910,000000,973.1000000,981.5000000,942.7000000,951.2000000,16245
20210912,000000,951.0000000,956.6000000,946.8000000,956.0000000,688
20210913,000000,955.7000000,958.4000000,942.2000000,956.9000000,13443
20210914,000000,957.3000000,957.7000000,927.1000000,932.6000000,18468
20210915,000000,933.3000000,947.0000000,915.6000000,946.7000000,16478
20210916,000000,946.7000000,950.5000000,921.0000000,925.3000000,13027
20210917,000000,925.2000000,949.1000000,925.2000000,930.9000000,15091
20210919,000000,930.8000000,934.1000000,929.5000000,933.1000000,402
20210920,000000,933.5000000,934.3000000,892.6000000,910.2000000,18825
20210921,000000,910.1000000,955.8000000,906.6000000,947.8000000,21515
20210922,000000,947.9000000,1009.3000000,945.4000000,997.9000000,23802
20210923,000000,998.0000000,1011.0000000,981.0000000,984.4000000,16864
20210924,000000,984.4000000,987.1000000,964.7000000,981.5000000,11185
20210926,000000,984.9000000,984.9000000,979.8000000,983.5000000,137
20210927,000000,982.9000000,1000.3000000,977.2000000,980.0000000,8094
