<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210111,000000,1844.4000000,1855.6000000,1817.1000000,1847.6000000,204927
20210112,000000,1847.5000000,1864.0000000,1835.8000000,1859.2000000,187847
20210113,000000,1859.1000000,1863.0000000,1841.6000000,1847.9000000,151844
20210114,000000,1847.8000000,1857.3000000,1826.6000000,1846.7000000,158061
20210115,000000,1846.7000000,1856.6000000,1822.1000000,1827.7000000,187936
20210117,000000,1828.8000000,1830.0000000,1800.8000000,1810.2000000,11427
20210118,000000,1810.2000000,1840.6000000,1809.6000000,1836.6000000,91653
20210119,000000,1836.5000000,1845.0000000,1831.8000000,1840.3000000,140642
20210120,000000,1840.2000000,1872.4000000,1831.1000000,1869.9000000,232215
20210121,000000,1869.9000000,1874.6000000,1857.5000000,1869.5000000,152885
20210122,000000,1869.7000000,1869.9000000,1836.3000000,1855.5000000,185777
20210124,000000,1855.3000000,1858.5000000,1853.1000000,1856.0000000,2385
20210125,000000,1856.3000000,1867.4000000,1846.2000000,1854.7000000,158277
20210126,000000,1854.5000000,1860.8000000,1846.0000000,1849.8000000,116778
20210127,000000,1850.0000000,1851.5000000,1828.4000000,1838.4000000,117815
20210128,000000,1838.8000000,1862.9000000,1831.5000000,1845.8000000,11165
20210129,000000,1845.8000000,1878.9000000,1841.2000000,1849.8000000,262697
20210131,000000,1865.0000000,1870.0000000,1855.0000000,1858.4000000,10973
20210201,000000,1858.2000000,1876.0000000,1851.7000000,1860.3000000,216090
20210202,000000,1860.6000000,1866.3000000,1830.4000000,1837.6000000,222054
20210203,000000,1837.6000000,1845.9000000,1830.1000000,1835.1000000,128275
20210204,000000,1835.1000000,1835.5000000,1784.6000000,1796.0000000,265316
20210205,000000,1796.0000000,1816.0000000,1792.2000000,1815.2000000,166306
20210207,000000,1818.1000000,1819.6000000,1815.0000000,1818.6000000,3280
20210208,000000,1818.6000000,1840.6000000,1807.3000000,1831.9000000,165744
20210209,000000,1832.1000000,1849.5000000,1831.4000000,1836.8000000,149851
20210210,000000,1836.8000000,1856.6000000,1834.0000000,1842.9000000,168993
20210211,000000,1842.8000000,1848.6000000,1821.7000000,1826.7000000,140955
20210212,000000,1826.7000000,1831.5000000,1810.1000000,1824.8000000,165028
20210214,000000,1826.0000000,1826.3000000,1820.1000000,1820.9000000,2713
20210215,000000,1821.1000000,1827.1000000,1815.5000000,1818.6000000,66279
20210216,000000,1818.7000000,1827.0000000,1785.9000000,1787.5000000,282135
20210217,000000,1787.4000000,1794.2000000,1767.9000000,1777.4000000,243473
20210218,000000,1777.3000000,1788.8000000,1766.6000000,1770.6000000,217860
20210219,000000,1770.5000000,1790.9000000,1759.0000000,1783.1000000,238578
20210221,000000,1782.0000000,1787.4000000,1780.4000000,1782.4000000,4539
20210222,000000,1782.8000000,1812.4000000,1778.6000000,1810.0000000,209724
20210223,000000,1810.1000000,1815.2000000,1794.5000000,1805.1000000,183990
20210224,000000,1805.2000000,1813.0000000,1782.2000000,1802.4000000,215989
20210225,000000,1802.4000000,1803.5000000,1763.9000000,1768.4000000,302145
20210226,000000,1768.6000000,1773.8000000,1714.9000000,1733.0000000,337658
20210228,000000,1732.8000000,1738.3000000,1731.6000000,1737.8000000,5420
