<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210111,000000,25.1200000,25.3950000,24.3650000,25.1400000,97901
20210112,000000,25.1350000,25.7650000,25.0400000,25.7600000,62022
20210113,000000,25.7550000,25.7850000,25.1700000,25.3800000,55659
20210114,000000,25.3800000,25.9850000,25.0950000,25.6400000,68173
20210115,000000,25.6350000,25.8650000,24.6100000,24.8300000,99615
20210117,000000,24.8350000,24.9000000,24.0400000,24.2600000,3771
20210118,000000,24.2550000,25.2200000,24.2450000,25.0450000,38765
20210119,000000,25.0450000,25.4800000,25.0150000,25.2850000,64020
20210120,000000,25.2800000,25.9800000,25.0600000,25.9100000,78073
20210121,000000,25.9150000,26.1300000,25.7000000,26.0000000,56830
20210122,000000,26.0050000,26.0350000,25.0500000,25.5650000,70162
20210124,000000,25.5350000,25.6800000,25.5200000,25.6050000,1412
20210125,000000,25.6100000,25.8350000,25.2050000,25.3850000,69484
20210126,000000,25.3750000,25.7200000,25.2300000,25.5000000,48051
20210127,000000,25.4950000,25.5250000,24.7150000,25.2050000,90933
20210128,000000,25.2100000,27.1000000,24.8950000,26.5850000,177914
20210129,000000,26.5850000,27.7700000,26.1500000,27.0600000,173919
20210131,000000,28.4250000,29.2500000,28.3050000,28.8250000,21255
20210201,000000,28.8100000,30.3500000,28.1550000,28.6950000,265393
20210202,000000,28.6950000,29.0250000,26.3500000,26.8800000,186556
20210203,000000,26.8800000,27.2600000,26.5450000,26.9100000,83355
20210204,000000,26.9050000,26.9100000,25.9350000,26.3850000,96068
20210205,000000,26.3900000,27.1050000,26.2550000,27.0350000,57288
20210207,000000,27.2000000,27.4000000,27.0550000,27.3450000,2430
20210208,000000,27.3500000,27.7000000,26.9300000,27.3450000,66278
20210209,000000,27.3500000,27.8750000,27.1300000,27.2950000,65820
20210210,000000,27.3000000,27.5950000,26.8800000,27.0800000,57107
20210211,000000,27.0750000,27.3500000,26.7500000,27.0450000,47189
20210212,000000,27.0450000,27.5000000,26.9100000,27.4500000,44358
20210214,000000,27.4900000,27.6500000,27.4500000,27.5100000,1817
20210215,000000,27.5000000,27.8050000,27.4650000,27.6700000,23114
20210216,000000,27.6700000,28.0750000,26.8700000,27.1300000,89934
20210217,000000,27.1400000,27.5250000,26.9150000,27.4800000,62293
20210218,000000,27.4800000,27.5950000,26.1050000,26.6150000,69588
20210219,000000,26.5950000,27.7100000,26.5300000,27.3700000,73748
20210221,000000,27.5550000,27.6300000,27.4000000,27.4750000,1877
20210222,000000,27.4750000,28.3450000,27.3300000,28.3100000,76098
20210223,000000,28.3050000,28.4250000,27.2850000,27.7200000,66633
20210224,000000,27.7200000,28.0800000,27.3650000,28.0000000,46425
20210225,000000,27.9850000,28.2650000,27.2950000,27.5400000,6477
20210226,000000,27.5400000,27.6450000,26.1600000,26.7000000,108166
20210228,000000,26.7000000,26.8450000,26.6550000,26.8350000,2002
20210301,000000,26.8300000,27.1750000,26.5100000,26.5950000,66441
20210302,000000,26.5950000,26.9850000,25.8200000,26.8150000,77976
20210303,000000,26.8100000,26.9150000,25.8750000,26.0750000,76957
20210304,000000,26.0700000,26.3850000,25.0800000,25.3500000,86779
20210305,000000,25.3400000,25.5050000,24.8450000,25.2950000,72437
