<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVDA-RM,M,20200801,000000,37893.0000000,45000.0000000,37310.0000000,39350.0000000,7227
NVDA-RM,M,20200901,000000,40137.0000000,43860.0000000,35433.0000000,41726.0000000,51521
NVDA-RM,M,20201001,000000,42092.0000000,44900.0000000,39150.0000000,39910.0000000,16685
NVDA-RM,M,20201101,000000,40093.0000000,46131.0000000,38816.0000000,40712.0000000,31617
NVDA-RM,M,20201201,000000,41005.0000000,41184.0000000,37425.0000000,39068.0000000,17156
NVDA-RM,M,20210101,000000,38861.0000000,41700.0000000,37583.0000000,39464.0000000,28623
NVDA-RM,M,20210201,000000,39450.0000000,45611.0000000,38855.0000000,41271.0000000,22170
NVDA-RM,M,20210301,000000,41649.0000000,42284.0000000,34801.0000000,40373.0000000,24792
NVDA-RM,M,20210401,000000,40500.0000000,49564.0000000,40500.0000000,45186.0000000,16353
NVDA-RM,M,20210501,000000,44529.0000000,47660.0000000,39770.0000000,47559.0000000,18060
NVDA-RM,M,20210601,000000,47400.0000000,58907.0000000,46768.0000000,58580.0000000,19390
NVDA-RM,M,20210701,000000,58964.0000000,62148.0000000,13830.0000000,14268.0000000,59951
NVDA-RM,M,20210801,000000,14408.0000000,17000.0000000,13690.0000000,16480.0000000,128957
NVDA-RM,M,20210901,000000,16479.0000000,16819.0000000,14919.0000000,15080.0000000,61432
NVDA-RM,M,20211001,000000,14971.0000000,18250.0000000,14185.0000000,18058.0000000,73683
NVDA-RM,M,20211101,000000,18300.0000000,25922.0000000,17981.0000000,23970.0000000,246927
NVDA-RM,M,20211201,000000,24535.0000000,25739.0000000,19680.0000000,22185.0000000,154792
NVDA-RM,M,20220101,000000,22133.0000000,23019.0000000,16596.0000000,18824.0000000,164556
